ITEM	NUM	BIN	HEX
1	-39	1111011001	FFFFFFD9
2	-36	1111011100	FFFFFFDC
3	8	      1000	8
4	34	    100010	22
5	17	     10001	11
6	49	    110001	31
7	5	       101	5
8	39	    100111	27
9	0	         0	0
10	33	    100001	21
11	12	      1100	C
12	-6	1111111010	FFFFFFFA
13	27	     11011	1B
14	-4	1111111100	FFFFFFFC
15	-38	1111011010	FFFFFFDA
16	26	     11010	1A
17	29	     11101	1D
18	42	    101010	2A
19	-16	1111110000	FFFFFFF0
20	-28	1111100100	FFFFFFE4
21	20	     10100	14
22	25	     11001	19
23	45	    101101	2D
24	3	        11	3
25	-46	1111010010	FFFFFFD2
26	-5	1111111011	FFFFFFFB
27	-50	1111001110	FFFFFFCE
28	35	    100011	23
29	-35	1111011101	FFFFFFDD
30	-42	1111010110	FFFFFFD6
31	14	      1110	E
32	-3	1111111101	FFFFFFFD
33	22	     10110	16
34	-47	1111010001	FFFFFFD1
35	-17	1111101111	FFFFFFEF
36	-31	1111100001	FFFFFFE1
37	-25	1111100111	FFFFFFE7
38	-18	1111101110	FFFFFFEE
39	37	    100101	25
40	-8	1111111000	FFFFFFF8
41	-41	1111010111	FFFFFFD7
42	-9	1111110111	FFFFFFF7
43	2	        10	2
44	28	     11100	1C
45	-44	1111010100	FFFFFFD4
46	-33	1111011111	FFFFFFDF
47	43	    101011	2B
48	23	     10111	17
49	-49	1111001111	FFFFFFCF
50	-7	1111111001	FFFFFFF9
51	-45	1111010011	FFFFFFD3
52	-21	1111101011	FFFFFFEB
53	-2	1111111110	FFFFFFFE
54	-24	1111101000	FFFFFFE8
55	6	       110	6
56	15	      1111	F
57	47	    101111	2F
58	-13	1111110011	FFFFFFF3
59	-12	1111110100	FFFFFFF4
60	-19	1111101101	FFFFFFED
61	-20	1111101100	FFFFFFEC
62	-14	1111110010	FFFFFFF2
63	30	     11110	1E
64	-27	1111100101	FFFFFFE5
65	36	    100100	24
66	9	      1001	9
67	7	       111	7
68	-48	1111010000	FFFFFFD0
69	40	    101000	28
70	1	         1	1
71	24	     11000	18
72	18	     10010	12
73	44	    101100	2C
74	19	     10011	13
75	41	    101001	29
76	48	    110000	30
77	-23	1111101001	FFFFFFE9
78	31	     11111	1F
79	-43	1111010101	FFFFFFD5
80	-15	1111110001	FFFFFFF1
81	-37	1111011011	FFFFFFDB
82	-10	1111110110	FFFFFFF6
83	-32	1111100000	FFFFFFE0
84	16	     10000	10
85	4	       100	4

Execution time: 0.0012807846069335938s.
